,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
13188,11/2016,0.05023606581179507,166.50261,3.934458017349243,11.35,20.95957694662172,25.725565,-0.0020579095,-0.19162065,-9.94
13189,11/2016,0.040423053378280116,104.40401,2.537063956260681,11.26,20.969163569714905,24.406963,-0.0013383083,-0.124615535,-12.9975
13190,11/2016,0.030836430285095418,126.597275,3.0375959873199463,11.17,20.978466591320966,24.892338,-0.0015251751,-0.14201549,-16.055
13191,11/2016,0.021533408679033528,196.6057,4.554228723049164,11.08,20.987631186244478,26.354042,-0.0022270754,-0.2073724,-19.1125
13192,11/2016,0.012368813755522012,180.7114,4.208045125007629,10.99,20.996737906950916,26.046215,-0.002007167,-0.1868958,-22.17
13193,11/2016,0.0032620930490843136,163.54645,3.831127345561981,10.9,21.00573496089438,25.705885,-0.0017739234,-0.1651775,-24.23
13194,11/2016,0.0,101.450485,2.4435360431671143,10.81,21.01450001038326,24.395329,-0.0010895274,-0.10145049,-26.29
13195,11/2016,0.0,130.7606,3.099405348300934,10.72,21.02298752067969,25.02807,-0.0014043034,-0.13076061,-28.35
13196,11/2016,0.0,38.302444,0.9469953775405884,10.63,21.0310983614912,22.979628,-0.00041134903,-0.038302444,-30.41
13197,11/2016,0.0,130.03029,3.0724539756774902,10.540000000000001,21.038841541997932,25.005861,-0.0013964601,-0.13003029,-26.7275
13198,11/2016,0.0,119.05543,2.8225139379501343,10.45,21.04635367725805,24.777489,-0.0012785955,-0.11905543,-23.045
13199,11/2016,0.0,130.22551,3.0649353861808777,10.36,21.053638408343907,25.018028,-0.0013985566,-0.13022551,-19.3625
13200,11/2016,0.0,97.907684,2.335909366607666,10.27,21.060665523223392,24.331184,-0.0010514794,-0.097907685,-15.68
13201,11/2016,0.0,87.26026,2.0819900035858154,10.0125,21.066921711144715,24.092743,-0.0009371314,-0.08726026,-19.02
13202,11/2016,0.0,99.958084,2.3584370613098145,9.754999999999999,21.072424271578647,24.359621,-0.0010734997,-0.099958085,-22.36
13203,11/2016,0.0,100.94244,2.3683501482009888,9.4975,21.07720775189799,24.37386,-0.0010840711,-0.10094243,-25.7
13204,11/2016,0.0,101.553246,2.3697309494018555,9.24,21.081286729809907,24.380024,-0.0010906309,-0.10155325,-29.04
13205,11/2016,0.0,107.92046,2.4977270364761353,8.9825,21.084683541724594,24.507326,-0.0011590116,-0.10792046,-19.305
13206,11/2016,0.0,177.79103,3.962347626686096,8.725000000000001,21.087521279599986,25.914444,-0.0019093865,-0.17779103,-9.57
13207,11/2016,0.0,37.001053,0.8751204013824463,8.467500000000001,21.089694371730932,22.978952,-0.00039737273,-0.03700105,0.16499999999999915
13208,11/2016,0.0,167.99442,3.722363233566284,8.21,21.091201285186706,25.695028,-0.0018041757,-0.16799441,9.9
13209,11/2016,0.0,184.70906,4.039929449558258,7.952500000000001,21.092271153569655,26.014843,-0.0019836826,-0.18470906,9.440000000000001
13210,11/2016,0.0,99.62995,2.253458261489868,7.695,21.092806198386757,24.324146,-0.0010699757,-0.09962995,8.98
13211,11/2016,0.0,145.55205,3.2060354948043823,7.4375,21.092758099541157,25.238758,-0.001563156,-0.14555205,8.52
13212,11/2016,0.0,123.56947,2.7344770431518555,7.18,21.092168781576213,24.798792,-0.0013270741,-0.12356947,8.06
13213,11/2016,0.0,41.99589,0.9621648788452148,7.085,21.091328128513922,23.11028,-0.00045101478,-0.04199589,8.2925
13214,11/2016,0.0,1.8200047,0.038558006286621094,6.99,21.090055412246194,22.218826,-1.9545936e-05,-0.0018200047,8.525
13215,11/2016,0.0,38.650448,0.8837145566940308,6.895,21.088356877157292,23.011953,-0.00041508643,-0.03865045,8.7575
13216,11/2016,0.0,52.3312,1.1876542568206787,6.8,21.086322069106394,23.294552,-0.0005620108,-0.052331198,8.99
13217,11/2016,0.0,63.01841,1.420783281326294,6.7025,21.083988868663567,23.51203,-0.0006767861,-0.06301841,6.3475
13218,11/2016,0.0,0.17253056,0.0,6.605,21.081280838542018,22.14919,0.0,0.0,3.705
13219,11/2016,0.0,0.1708677,0.0,6.5075,21.078109549551336,22.133785,0.0,0.0,1.0625
13220,11/2016,0.0,27.309193,0.6212325096130371,6.41,21.0745299300852,22.712898,-0.000293287,-0.027309192,-1.58
13221,11/2016,0.0,115.84193,2.5318400859832764,6.315,21.070733880444514,24.530922,-0.0012440842,-0.115841925,-2.0225
13222,11/2016,0.0,251.94847,5.175463914871216,6.220000000000001,21.06703943590576,27.066267,-0.0027058,-0.25194848,-2.465
13223,11/2016,0.0,16.125933,0.3647446632385254,6.125,21.06328657827398,22.4919,-0.00017318442,-0.016125932,-2.9075
13224,11/2016,0.0,64.474464,1.4330685138702393,6.03,21.059218582837445,23.50145,-0.0006924234,-0.06447446,-3.35
13225,11/2016,0.0,17.542564,0.396223783493042,6.03,21.05509913155364,22.506008,-0.00018839835,-0.017542565,-1.65
