,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
15143,12/2016,191.0349012781041,3585.649633583679,1.69,20.997028550934846,26.4058,0.0029714490651535
15144,12/2016,191.4430401077221,3588.0777896847526,1.645,20.996681531767024,26.4207,0.0033184682329761
15145,12/2016,191.8033010014231,3589.7895248283567,1.6,20.99639491388995,26.4333,0.0036050861100491
15146,12/2016,192.1864171018626,3592.1918245039587,1.5575,20.99615303983688,26.4452,0.0038469601631199
15147,12/2016,192.52534173328027,3593.9131370200616,1.515,20.995936710226477,26.4553,0.0040632897735264
15148,12/2016,192.81972880137957,3594.942346959296,1.4725,20.995728713963157,26.4637,0.0042712860368467
15149,12/2016,193.06873754302555,3595.261084578286,1.43,20.995513518400376,26.4705,0.0044864815996241
15150,12/2016,193.27222890768076,3594.86409324024,1.3875,20.995277009406266,26.4757,0.0047229905937342
15151,12/2016,193.43197529711676,3593.7795738149225,1.345,20.995006299801563,26.4795,0.0049937001984368
15152,12/2016,193.5530728972737,3592.0927694015613,1.3025,20.994689623996184,26.4819,0.0053103760038162
15153,12/2016,193.6456070685851,3589.9736349629748,1.26,20.994316338647582,26.4832,0.005683661352414
15154,12/2016,194.89702357309332,3611.0704726128993,1.26,20.99400688120726,26.5065,0.0059931187927411
15155,12/2016,196.16794442096904,3632.378302237533,1.26,20.99377873540872,26.5311,0.0062212645912786
15156,12/2016,197.49403890997343,3654.511157240312,1.26,20.99364741085805,26.5576,0.0063525891419509
15157,12/2016,198.9091867658458,3678.044554099308,1.26,20.99362748812234,26.5865,0.0063725118776609
15158,12/2016,200.44444266180577,3703.4984878438954,1.26,20.993733446637435,26.6181,0.0063725118776609
15159,12/2016,202.1267297173109,3731.3159169649816,1.26,20.9939802836778,26.6531,0.0062665533625647
15160,12/2016,203.97705187227237,3761.833333189565,1.26,20.994383923144525,26.6918,0.0060197163222035
15161,12/2016,206.00828970599215,3795.244774248852,1.26,20.99496140393294,26.7344,0.0056160768554747
15162,12/2016,208.22229839755408,3831.554847539725,1.26,20.995730827964696,26.781,0.0050385960670595
15163,12/2016,210.6062325830401,3870.5199335079706,1.26,20.996711036531917,26.8316,0.004269172035304
15164,12/2016,213.1282837462512,3911.581140468392,1.26,20.99792097574772,26.8855,0.003288963468087
15165,12/2016,215.73193184677413,3953.774303919204,1.26,20.99937869768022,26.9419,0.0020790242522821
15166,12/2016,214.62964286327792,3922.213482246897,1.1275,21.00069484466731,26.9277,0.0006213023197787
15167,12/2016,213.38640628055143,3888.805174317453,0.995,21.00180149980376,26.9073,0.0
15168,12/2016,211.91486877133303,3852.068997183379,0.8625,21.002637630993902,26.8796,0.0
15169,12/2016,210.1392713859125,3810.7422557603104,0.73,21.003146332934413,26.8438,0.0
15170,12/2016,207.97185133729627,3763.3787071146567,0.5974999999999999,21.00327247804973,26.7984,0.0
15171,12/2016,205.2996573721149,3708.110695602879,0.4649999999999999,21.002960444626467,26.7418,0.0
15172,12/2016,202.00121928265747,3642.952646869669,0.3324999999999999,21.00215181485233,26.6717,0.0
15173,12/2016,197.92656151758985,3565.4361002886085,0.2,21.00078293118413,26.5856,0.0
15174,12/2016,192.96792548705824,3473.9704427001307,0.07,20.998789873142183,26.4813,0.001210126857817
15175,12/2016,186.87783047796967,3364.187262620715,-0.06,20.99609210399966,26.3541,0.0039078960003386
15176,12/2016,179.56703795026428,3234.4860794487704,-0.19,20.99259710817428,26.2017,0.0074028918257234
15177,12/2016,171.01328740029007,3084.2879434751244,-0.32,20.98820086144124,26.0228,0.0117991385587643
15178,12/2016,172.57207960485064,3132.3796492268525,-0.0574999999999999,20.98398998789941,26.0297,0.0160100121005939
15179,12/2016,172.95904544910724,3160.3409082204407,0.205,20.98007972253908,26.0253,0.0199202774609226
15180,12/2016,172.3829661941793,3171.5478283777184,0.4675000000000001,20.976544702082727,26.0104,0.0234552979172733
15181,12/2016,171.04179775007262,3169.2141611596926,0.73,20.973429167335407,25.986,0.0265708326645928
15182,12/2016,169.05290775484627,3155.0161606546385,0.99,20.970747814159093,25.9524,0.0292521858409067
15183,12/2016,166.66503895601164,3133.3066258040494,1.25,20.968506656058494,25.9127,0.0314933439415021
15184,12/2016,164.0387242921609,3106.793503711009,1.51,20.966702916095564,25.8688,0.0332970839044364
15185,12/2016,161.3260415471516,3078.0991121481693,1.77,20.96532971818459,25.823,0.0346702818154085
15186,12/2016,158.73823780911448,3051.1431059622664,2.0325,20.96438761201456,25.7789,0.0356123879854415
15187,12/2016,156.3456366917969,3027.058556663506,2.295,20.963874029745053,25.7378,0.0361259702549467
15188,12/2016,154.28167110556632,3008.336758296517,2.5575,20.963791921561057,25.7024,0.0362080784389426
15189,12/2016,152.67887009471622,2997.513730001275,2.82,20.96415211908488,25.6756,0.0362080784389426
15190,12/2016,150.8559319072036,2980.053392241431,3.05,20.964876627834684,25.6437,0.0358478809151208
15191,12/2016,149.80647185447475,2976.511688341405,3.28,20.96597999456348,25.6262,0.0351233721653159
