,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
5407,2/2016,377.6034127915163,5507.380847543229,2.72,20.94157050431365,37.2807,0.0614613990337993
5408,2/2016,362.663453490389,5395.96462763484,3.14,20.9452656311446,36.9274,0.0584294956863544
5409,2/2016,349.9756454685527,5306.976506763522,3.56,20.94984750134618,36.6049,0.0547343688553993
5410,2/2016,335.1261127512076,5168.104253881704,3.86,20.953523466772893,36.244,0.0501524986538193
5411,2/2016,321.80758717113486,5044.512925353285,4.16,20.95637227974873,35.8986,0.0464765332271071
5412,2/2016,309.5312305051202,4930.0455921742105,4.46,20.958522076595436,35.5655,0.0436277202512656
5413,2/2016,297.98462489749204,4820.779478850981,4.76,20.96011715663876,35.2421,0.0414779234045674
5414,2/2016,287.0091679597635,4714.840104689284,5.06,20.961300847107108,34.9269,0.0398828433612443
5415,2/2016,276.577239060927,4612.195123701,5.359999999999999,20.96221090451648,34.62,0.0386991528928923
5416,2/2016,266.7706771194634,4514.449776283107,5.66,20.962984407403777,34.3229,0.0377890954835216
5417,2/2016,257.75890635770213,4424.616153768832,5.96,20.963769499783982,34.039,0.037015592596223
5418,2/2016,249.7719525463901,4346.773820655898,6.26,20.96474140130793,33.7734,0.0362305002160177
5419,2/2016,243.06048101508017,4285.480283571983,6.5600000000000005,20.966119577289152,33.5324,0.0352585986920743
5420,2/2016,237.8318964652492,4244.731514884192,6.86,20.96818165767915,33.3223,0.0338804227108475
5421,2/2016,234.14880386856595,4226.227952182786,7.16,20.971267478130027,33.1479,0.0318183423208502
5422,2/2016,227.9058973687077,4150.571094899335,7.3175,20.973306084854958,32.9323,0.0287325218699727
5423,2/2016,222.73478223796104,4090.907950091144,7.475,20.974438440819267,32.7353,0.0266939151450458
5424,2/2016,218.4462724449427,4044.324559143264,7.6325,20.974857439920005,32.5567,0.0255615591807334
5425,2/2016,215.1340154934173,4012.651985773287,7.79,20.974797307342936,32.4004,0.0252026926570643
5426,2/2016,213.15707442242496,4002.259174012133,7.9475,20.974548022827857,32.2747,0.0254519771721426
5427,2/2016,213.109012365546,4023.542186041372,8.105,20.97448885731262,32.1934,0.0255111426873817
5428,2/2016,215.75822501975472,4089.782689780555,8.2625,20.9751336398978,32.1746,0.0255111426873817
5429,2/2016,221.93309275124668,4214.853766102178,8.42,20.97717706758808,32.2397,0.0248663601021981
5430,2/2016,232.2993053522121,4408.861196249736,8.5775,20.981525932399457,32.4083,0.0228229324119233
5431,2/2016,247.1627836097233,4674.606431908501,8.735,20.98929206262297,32.6923,0.0184740676005432
5432,2/2016,265.7723371659139,4995.644634710775,8.8925,21.001716487701504,33.0848,0.0107079373770275
5433,2/2016,286.06016411026195,5333.89754856149,9.05,21.02000559985311,33.5528,0.0
5434,2/2016,293.0544803626108,5388.078872680747,8.682500000000001,21.03613630690896,33.7902,0.0
5435,2/2016,300.3467035171265,5445.532007592909,8.315000000000001,21.04997212034134,34.0209,0.0
5436,2/2016,307.89408449089143,5505.257732198842,7.9475,21.061416911536213,34.2456,0.0
5437,2/2016,315.6570716389509,5566.396210163193,7.58,21.070403942278933,34.4647,0.0
5438,2/2016,323.5963123294979,5628.1676816815725,7.2125,21.076887144104536,34.6781,0.0
5439,2/2016,331.6695339326856,5689.81830450588,6.845000000000001,21.080834017084197,34.8858,0.0
5440,2/2016,339.8282268868119,5750.569451555226,6.4775,21.08221963783616,35.0873,0.0
5441,2/2016,348.01377552939954,5809.564959781021,6.11,21.081021348800867,35.282,0.0
5442,2/2016,356.1528240775388,5865.813576755494,5.7425,21.07721375038024,35.4688,0.0
5443,2/2016,364.1515189692321,5918.12204681127,5.375,21.07076364106966,35.6462,0.0
5444,2/2016,371.88823849926274,5965.014244828652,5.0075,21.06162454796613,35.8123,0.0
5445,2/2016,379.20421877836026,6004.6291618500245,4.64,21.049730457990243,35.9646,0.0
5446,2/2016,392.7988824580489,6155.22064924885,4.4825,21.038632765079395,36.221,0.0
5447,2/2016,405.83678990103095,6292.721436910828,4.324999999999999,21.02863522386791,36.4802,0.0
5448,2/2016,418.2670889090531,6417.361108819684,4.1675,21.01992494432532,36.7381,0.0
5449,2/2016,429.9711476195577,6528.472755210887,4.01,21.01258957657324,36.9899,0.0
5450,2/2016,440.838451254804,6625.895140067643,3.855,21.00667067558752,37.232,0.0
5451,2/2016,450.4956095230141,6705.453289241687,3.7,21.002085370309292,37.457,0.0
5452,2/2016,458.5437008634618,6763.263216176075,3.545,20.998660789471376,37.6574,0.0013392105286236
5453,2/2016,464.64888275839,6796.458940437078,3.39,20.99613204787529,37.8265,0.0038679521247075
5454,2/2016,468.84809712652304,6806.448072009633,3.2325,20.994115190713764,37.9614,0.0058848092862362
5455,2/2016,471.4017067891243,6797.861609527972,3.075,20.99221694601696,38.0637,0.0077830539830436
5456,2/2016,472.3743891850239,6772.196761034665,2.9175,20.990017363515054,38.1326,0.009982636484942
5457,2/2016,471.8607602170078,6731.1248837655385,2.76,20.98708293556279,38.1686,0.0129170644372109
5458,2/2016,474.4101704354648,6746.879888972096,2.7175,20.984986250659,38.2432,0.0150137493409978
5459,2/2016,476.2123430141191,6754.172398360123,2.675,20.983567974863803,38.3047,0.0164320251361971
5460,2/2016,477.6361577036573,6757.675418397032,2.6325,20.98266299782156,38.3569,0.0173370021784435
5461,2/2016,478.914874035503,6760.220615327291,2.59,20.9821203194688,38.4025,0.0178796805311982
5462,2/2016,480.2753001223917,6764.820200375538,2.55,20.98185538419358,38.4452,0.0181446158064204
5463,2/2016,481.6833241835653,6770.52670937395,2.51,20.981770039093195,38.485,0.0182299609068046
5464,2/2016,483.14188077818886,6777.259904105811,2.47,20.981786983793004,38.5227,0.01828632277277
