,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
4569,2/2016,272.435447640529,5451.2118296348135,6.46,21.181222469561856,28.3151,0.0
4570,2/2016,266.1687300410716,5306.304339748931,6.165,21.191653948425166,28.1939,0.0
4571,2/2016,259.8610506983064,5161.579726263784,5.87,21.201353125749847,28.0716,0.0
4572,2/2016,253.484773136001,5016.549502497715,5.575,21.210312581164715,27.9478,0.0
4573,2/2016,247.07972388451,4871.921316191127,5.28,21.21852517787919,27.823,0.0
4574,2/2016,240.6559335142456,4727.873218677632,4.985,21.22598411440874,27.6975,0.0
4575,2/2016,234.21315896724855,4584.401232839907,4.69,21.2326829255615,27.5712,0.0
4576,2/2016,227.75446964555155,4441.5601229970725,4.395,21.23861547497597,27.4443,0.0
4577,2/2016,221.28511651674103,4299.443159798224,4.1,21.243775954599062,27.3169,0.0
4578,2/2016,214.81035921730495,4158.143627394899,3.805,21.2481588868038,27.189,0.0
4579,2/2016,208.34289964346115,4017.885752073825,3.51,21.25175913552473,27.0609,0.0
4580,2/2016,201.83965795370764,3877.911393123663,3.215,21.25457185760655,26.9318,0.0
4581,2/2016,195.2995044357056,3738.2034575353778,2.92,21.256592439897343,26.8018,0.0
4582,2/2016,195.08159391549603,3730.2827713271545,2.8725,21.25849145250759,26.797,0.0
4583,2/2016,194.8899305590724,3722.837248275385,2.825,21.26026997156872,26.7925,0.0
4584,2/2016,194.72788224369648,3715.924423411037,2.7775,21.261929111621324,26.7885,0.0
4585,2/2016,194.5838190829391,3709.338774070163,2.73,21.263470013932626,26.7847,0.0
4586,2/2016,194.4469316096968,3702.890018831809,2.6825,21.26489381821572,26.781,0.0
4587,2/2016,194.33850322375145,3696.949967474476,2.635,21.26620167545825,26.7777,0.0
4588,2/2016,194.2718426880576,3691.749410489359,2.5875,21.26739478907203,26.7751,0.0
4589,2/2016,194.244077516599,3687.235593512824,2.54,21.268474425257228,26.773,0.0
4590,2/2016,194.20957235631096,3682.610343756149,2.4925,21.269441851686214,26.7708,0.0
4591,2/2016,194.140416283954,3677.387978566656,2.4450000000000003,21.270298248840977,26.768,0.0
4592,2/2016,194.04256417623,3671.674369899162,2.3975,21.27104468692516,26.7646,0.0
4593,2/2016,193.90869566849372,3665.344060417353,2.35,21.271682128037863,26.7606,0.0
4594,2/2016,194.6347361591158,3676.585386353473,2.335,21.272300116423597,26.7733,0.0
4595,2/2016,195.33043942109484,3687.2778031745,2.3200000000000003,21.272900209120685,26.7856,0.0
4596,2/2016,196.0705816620608,3698.719702565936,2.305,21.273483926338454,26.7987,0.0
4597,2/2016,196.7822871169158,3709.6461476174313,2.29,21.274052753676507,26.8113,0.0
4598,2/2016,197.48595734253325,3720.2072566025954,2.2725,21.274601341543363,26.8237,0.0
4599,2/2016,198.307035428758,3732.775819129608,2.255,21.275131262477647,26.8381,0.0
4600,2/2016,199.2418910331887,3747.281286666176,2.2375000000000003,21.27564430972621,26.8544,0.0
4601,2/2016,200.25836652584465,3763.16096187811,2.22,21.276142445797603,26.8721,0.0
4602,2/2016,201.42405531463595,3781.78111553936,2.205,21.276634578550286,26.8925,0.0
4603,2/2016,202.6454640703065,3801.315560909193,2.1900000000000004,21.27712294212844,26.914,0.0
4604,2/2016,203.94369410905165,3822.1222813618297,2.1750000000000003,21.27760984743938,26.9368,0.0
4605,2/2016,205.28014455962716,3843.532845310313,2.16,21.278097657540137,26.9603,0.0
4606,2/2016,204.9349679381911,3830.575961612411,2.08,21.27841144727601,26.951,0.0
4607,2/2016,204.6146187821889,3818.076787960787,2.0,21.27855214383256,26.942,0.0
4608,2/2016,204.3067462966566,3805.822169467455,1.92,21.278520698549134,26.933,0.0
4609,2/2016,203.9860184660183,3793.37903681455,1.84,21.278318041307887,26.9238,0.0
4610,2/2016,203.69174057354144,3781.627690464037,1.7625000000000002,21.27795183810728,26.9151,0.0
4611,2/2016,203.3755830625417,3769.533311873885,1.685,21.277422900768048,26.9059,0.0
4612,2/2016,203.03450293865356,3757.046043434801,1.6075,21.27673196940033,26.8962,0.0
4613,2/2016,202.66541695961675,3744.1156376943154,1.53,21.275879707848297,26.8859,0.0
4614,2/2016,202.26518848592264,3730.691226705181,1.4525,21.27486669922138,26.875,0.0
4615,2/2016,201.8305074791551,3716.7192852094367,1.375,21.27369344135274,26.8634,0.0
4616,2/2016,201.35798418258597,3702.145217652109,1.2975,21.27236034215913,26.8511,0.0
4617,2/2016,200.8250769573998,3686.591726961493,1.22,21.27086769262939,26.8376,0.0
4618,2/2016,202.22199417879355,3709.606446736269,1.215,21.26941343247394,26.861,0.0
4619,2/2016,203.57774921699888,3731.883611094213,1.21,21.26799927062256,26.8838,0.0
4620,2/2016,204.9695325130525,3754.7232242255695,1.205,21.26662684586188,26.9074,0.0
4621,2/2016,206.33755715931443,3777.119337158052,1.2,21.26529774830009,26.9306,0.0
