,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
15010,12/2016,278.2020691900652,5082.239801309346,9.2475,21.475364571245656,34.5578,,682.75,0.0
15011,12/2016,264.52688146293366,4812.768985278895,8.795,21.49945986974524,34.3151,,682.75,0.0
15012,12/2016,524.089403902828,8586.27702246512,8.3425,21.52508064170911,38.08,,682.75,0.0
15013,12/2016,783.7496875166146,11511.208799797349,7.89,21.56820172940133,41.9328,False,682.75,0.0
15014,12/2016,240.8773589895264,4111.894757434489,7.4375,21.611758727547453,35.6278,,682.75,0.0
15015,12/2016,226.90346018528095,3894.2570951633584,6.984999999999999,21.63642713058512,34.9977,,682.75,0.0
15016,12/2016,280.88996815677064,4718.811504694592,6.5325,21.646018948775097,35.4256,,682.75,0.0
15017,12/2016,256.2781030045284,4322.415767420966,6.08,21.64289309832165,34.8479,False,682.75,0.0
15018,12/2016,356.18351898368087,5762.682062069454,5.6275,21.631180604828582,36.0601,,682.75,0.0
15019,12/2016,302.2131174600311,4930.333251659187,5.175,21.612496953840598,35.3074,,682.75,0.0
15020,12/2016,430.2981782527513,6657.056909006184,4.7225,21.589829110319613,36.9475,,682.75,0.0
15021,12/2016,278.0468463936608,4470.841897687613,4.27,21.561076040454672,35.0135,False,682.75,0.0
15022,12/2016,316.5472806975666,5016.413186520298,4.0225,21.52597093073212,35.343,,682.75,0.0
15023,12/2016,408.5857584871327,6246.507442246757,3.775,21.489726099862448,36.4977,,682.75,0.0
15024,12/2016,437.3853988957129,6561.437377787351,3.5275,21.455837205777367,36.9884,,682.75,0.0
15025,12/2016,481.19558014121407,7044.578607286666,3.28,21.425542085607432,37.686,False,682.75,0.0
15026,12/2016,846.6016152705004,10979.896203935166,3.0325,21.40998885769149,42.0605,,682.75,0.0
15027,12/2016,387.47937621078256,5613.731029980812,2.785,21.400950655798045,37.6008,,682.75,0.0
15028,12/2016,294.82367672748506,4402.7332903401375,2.5375,21.38074759768278,36.1961,,682.75,0.0
15029,12/2016,314.11126075102646,4677.86393911498,2.29,21.348638523376987,36.0582,False,682.75,0.0
15030,12/2016,379.519108698017,5535.463327168207,2.0425,21.30907592090705,36.6109,,682.75,0.0
15031,12/2016,492.512133209836,6902.160753056727,1.795,21.26855762688224,37.8873,,682.75,0.0
15032,12/2016,397.6246906141505,5688.825373889858,1.5475,21.22673309710794,36.8535,,682.75,0.0
15033,12/2016,541.0006165515348,7371.409832063237,1.3,21.18512187295838,38.4571,False,682.75,0.0
15034,12/2016,313.21989692170905,4561.811076410049,1.265,21.142960560490963,35.8922,,682.75,0.0
15035,12/2016,958.2638187922988,11619.354892570327,1.23,21.113292971427093,42.7827,,682.75,0.0
15036,12/2016,678.9148024691285,8663.321813360772,1.1949999999999998,21.102541497202296,40.8255,,682.75,0.0
15037,12/2016,730.0340943486898,9105.598450201558,1.16,21.10155172839524,41.6481,False,682.75,0.0
15038,12/2016,233.032797727752,3347.233503022742,1.1275,21.09416571694284,36.2821,,682.75,0.0
15039,12/2016,223.18591312584343,3277.992878056384,1.095,21.067713976415035,35.4012,,682.75,0.0
15040,12/2016,963.0682041121122,11525.134820708365,1.0625,21.047803169706523,43.1047,,682.75,0.0
15041,12/2016,806.1955467980617,9836.135141747203,1.03,21.048007660692992,42.3444,False,682.75,0.0
15042,12/2016,344.0251762559343,4733.087645508139,0.995,21.04688503371841,37.7831,,682.75,0.0
15043,12/2016,1011.9266447072382,11682.2238116147,0.96,21.05182306436141,44.3511,,682.75,0.0
15044,12/2016,287.01554457388085,3976.651741333508,0.925,21.057101892087623,37.4459,,682.75,0.0
15045,12/2016,1003.3315417056996,11570.327362987802,0.89,21.06481980427696,44.3195,False,682.75,0.0
15046,12/2016,248.6937730758297,3476.099015254663,0.895,21.07096995404119,37.083,,682.75,0.0
15047,12/2016,328.1729635483636,4561.531295330375,0.9,21.059822067019024,37.299,,682.75,0.0
15048,12/2016,380.3168550353733,5264.215552569317,0.905,21.03862799008808,37.4626,,682.75,0.0
15049,12/2016,896.987662209217,10805.552577742348,0.91,21.02570179344176,42.6988,False,682.75,0.0
