,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
10197,10/2016,-1.3122979927248049,-32.072220168185325,9.045,21.339518148035665,22.1725,,1966.6,0.0
10198,10/2016,126.98509226704849,2914.0164149617685,9.1375,21.339676168214154,24.9845,,1966.6,0.0
10199,10/2016,3.1795175537741853,77.81365786700991,9.23,21.34007963943264,22.2771,False,1966.6,0.0
10200,10/2016,36.96845959703962,890.6181027079572,9.32,21.340579208378447,23.0445,,1966.6,0.0
10201,10/2016,147.5828549856544,3371.626356120997,9.41,21.34140356313778,25.4185,,1966.6,0.0
10202,10/2016,185.6458552507847,4172.009947838874,9.5,21.34277122559518,26.2017,,1966.6,0.0
10203,10/2016,69.10394328390868,1645.133797421684,9.59,21.34454656421889,23.8014,False,1966.6,0.0
10204,10/2016,114.71588344972577,2666.2453260162074,9.525,21.34620014132793,24.7814,,1966.6,0.0
10205,10/2016,-0.714129808400669,-17.58278340863123,9.46,21.34761671151411,22.2176,,1966.6,0.0
10206,10/2016,18.737233308889177,456.1089262338952,9.395,21.348650446097302,22.6587,,1966.6,0.0
10207,10/2016,2.407773280972932,59.05684497855409,9.33,21.349316428551163,22.2692,False,1966.6,0.0
10208,10/2016,72.7401236775892,1718.3370241067144,9.265,21.349712623567235,23.8482,,1966.6,0.0
10209,10/2016,218.9467202685728,4818.628935312283,9.2,21.35017506500424,26.8226,,1966.6,0.0
10210,10/2016,7.052870705643073,171.81016971963146,9.135,21.350588304322432,22.3952,,1966.6,0.0
10211,10/2016,2.413900335812551,58.88632026706214,9.07,21.350624805833306,22.2756,False,1966.6,0.0
10212,10/2016,-1.225280001125039,-29.91561788858244,9.002500000000001,21.350273971759048,22.1784,,1966.6,0.0
10213,10/2016,45.086133128198085,1073.2205361688243,8.935,21.3496167992071,23.2234,,1966.6,0.0
10214,10/2016,38.36153062032962,915.1405083573064,8.8675,21.34872559373037,23.0685,,1966.6,0.0
10215,10/2016,2.603269948350305,63.19774621816779,8.8,21.34753545125012,22.2471,False,1966.6,0.0
10216,10/2016,1.5299691158195972,37.14838856658534,8.7675,21.346087675196685,22.2105,,1966.6,0.0
10217,10/2016,80.51560001758108,1876.328727198185,8.735,21.344515869368376,23.9623,,1966.6,0.0
10218,10/2016,4.287975849420774,103.84208899772068,8.7025,21.3428257990313,22.2666,,1966.6,0.0
10219,10/2016,80.81925859232007,1880.984669657388,8.67,21.34102228815868,23.9595,False,1966.6,0.0
10220,10/2016,10.768022546155397,259.5609135372472,8.635,21.33911028800663,22.4087,,1966.6,0.0
10221,10/2016,190.69660097990024,4206.974419043122,8.6,21.337255586733047,26.1837,,1966.6,0.0
10222,10/2016,115.97703713055276,2646.617045435624,8.565,21.335617203779744,24.7111,,1966.6,0.0
10223,10/2016,11.0358804605429,265.2666939726047,8.53,21.33391385682564,22.4377,False,1966.6,0.0
10224,10/2016,-2.8380432615199216,-68.69046328862366,8.497499999999999,21.33196653423329,22.1074,,1966.6,0.0
10225,10/2016,1.7384224169311688,41.95779178804519,8.465,21.3297669873987,22.2008,,1966.6,0.0
10226,10/2016,77.70209586544013,1802.937005075414,8.432500000000001,21.327452603243117,23.8776,,1966.6,0.0
10227,10/2016,651.3664108497735,11953.258438270954,8.4,21.325853110020997,33.6115,False,1966.6,0.0
10228,10/2016,188.53224387140216,4125.928173437545,8.235,21.32473861105096,26.1956,,1966.6,0.0
10229,10/2016,44.961174097144514,1050.139634487108,8.07,21.32333559424446,23.2677,,1966.6,0.0
10230,10/2016,418.4596897930477,8263.394920008293,7.905,21.32193824396566,30.1783,,1966.6,0.0
10231,10/2016,61.421248924113605,1411.591429119111,7.74,21.320558037069404,23.6648,False,1966.6,0.0
