,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
12539,11/2016,729.1857520473375,11862.965645219276,4.262499999999999,21.35985814115733,34.5489,,1966.6,0.0
12540,11/2016,77.06559180942378,1578.2915290617743,4.14,21.36980720700352,25.1956,False,1966.6,0.0
12541,11/2016,127.15224075112133,2554.165581852888,4.105,21.377159655532942,25.9595,,1966.6,0.0
12542,11/2016,9.98175080405146,212.14903475843815,4.07,21.38133417398479,23.5898,,1966.6,0.0
12543,11/2016,590.9265079531939,9981.724668409037,4.035,21.387819389775743,32.8569,,1966.6,0.0
12544,11/2016,3.3652676630722484,71.20140653296139,4.0,21.39563961978254,23.7127,False,1966.6,0.0
12545,11/2016,84.30291662005556,1726.5687734157443,3.9675,21.39966839700671,25.0316,,1966.6,0.0
12546,11/2016,136.85035464264712,2742.808989538953,3.935,21.402133516862204,25.8912,,1966.6,0.0
12547,11/2016,93.13017050506754,1904.2887997967125,3.9025,21.40331886285445,25.0367,,1966.6,0.0
12548,11/2016,81.42598265938433,1676.5246632564008,3.87,21.402744380623155,24.7203,False,1966.6,0.0
12549,11/2016,77.9708838551864,1610.4503744065903,3.835,21.400472929212462,24.5569,,1966.6,0.0
12550,11/2016,250.13330482246172,4796.004001046446,3.8,21.398810001606584,27.571,,1966.6,0.0
12551,11/2016,69.7099471916392,1440.9484638759832,3.765,21.397370322803692,24.4585,,1966.6,0.0
12552,11/2016,12.729510599015745,270.96220871923634,3.73,21.3933002527512,23.2059,False,1966.6,0.0
12553,11/2016,135.60860505919476,2728.424468420249,3.6,21.3876391959603,25.4159,,1966.6,0.0
12554,11/2016,123.40113396415836,2488.248177593114,3.47,21.381912825048516,25.2028,,1966.6,0.0
12555,11/2016,90.15125221474652,1840.4075844027504,3.34,21.375512456032805,24.5708,,1966.6,0.0
12556,11/2016,74.88409229161178,1536.962262762279,3.21,21.36790085202125,24.2259,False,1966.6,0.0
12557,11/2016,31.86588590374024,666.6489534764536,3.08,21.35845651673165,23.3118,,1966.6,0.0
12558,11/2016,145.25070623498593,2883.316487543543,2.95,21.34834636758884,25.3496,,1966.6,0.0
12559,11/2016,97.18898545206672,1963.307803527717,2.82,21.33836446331701,24.5088,,1966.6,0.0
12560,11/2016,119.1245507758294,2376.834198225712,2.69,21.32816352153359,24.8917,False,1966.6,0.0
12561,11/2016,42.942034822772975,884.747444507732,2.56,21.31699907935349,23.4485,,1966.6,0.0
12562,11/2016,68.90537887031648,1401.6777652212782,2.43,21.304408134608757,23.8498,,1966.6,0.0
12563,11/2016,174.13119537377708,3373.2908282600097,2.3,21.292177871819884,25.72,,1966.6,0.0
12564,11/2016,102.25021141276778,2034.1083516400008,2.17,21.280524483825264,24.5141,False,1966.6,0.0
12565,11/2016,118.66915719049123,2340.987295146624,2.11,21.268897917722743,24.7991,,1966.6,0.0
12566,11/2016,73.70085569037177,1481.6256267796623,2.05,21.25689548524781,23.9696,,1966.6,0.0
12567,11/2016,537.4412905156154,8997.119826699494,1.99,21.24899500989694,31.233,,1966.6,0.0
12568,11/2016,1.44413727998634,29.63884398797835,1.93,21.243204777921417,23.0043,False,1966.6,0.0
12569,11/2016,763.6608506438254,11795.642157278917,1.8675,21.24151005680904,34.2376,,1966.6,0.0
12570,11/2016,19.142936881059292,384.2191749466068,1.805,21.24288204129033,23.7991,,1966.6,0.0
12571,11/2016,131.46362367441057,2519.42965632428,1.7425,21.24132877589514,25.618,,1966.6,0.0
12572,11/2016,16.192032004684428,327.0940217814499,1.68,21.23711316189079,23.4144,False,1966.6,0.0
12573,11/2016,115.78523642961036,2243.2495521270416,1.62,21.230553717460115,25.0589,,1966.6,0.0
12574,11/2016,752.304825182631,11571.813404520934,1.56,21.2293002891366,34.0943,,1966.6,0.0
12575,11/2016,518.0685844774994,8461.37136773398,1.5,21.23614556901462,31.7151,,1966.6,0.0
12576,11/2016,110.0108589100406,2081.9534201052147,1.44,21.24375964948636,25.8314,False,1966.6,0.0
12577,11/2016,19.2337936505281,379.7518943564437,1.3075,21.246815014424968,23.9882,,1966.6,0.0
12578,11/2016,10.16766928450701,202.38758020844267,1.175,21.2447944987679,23.5287,,1966.6,0.0
12579,11/2016,160.7598687648483,3001.0160657268525,1.0425,21.24014913335349,25.9934,,1966.6,0.0
12580,11/2016,47.06297711567132,921.3351010662856,0.91,21.23354973526803,23.9474,True,1966.6,0.0
12581,11/2016,59.27847946192044,1155.2674977531965,0.78,21.22414253536787,24.0029,,1966.6,0.0
12582,11/2016,59.35944175036205,1156.9775973911178,0.65,21.21244668751197,23.8712,,1966.6,0.0
12583,11/2016,399.8349625392791,6787.339835496253,0.52,21.202479974933414,29.2404,,1966.6,0.0
12584,11/2016,10.477582493335078,206.61241523657048,0.39,21.19301271482291,23.1443,False,1966.6,0.0
12585,11/2016,129.8944607295589,2432.512833692164,0.2575,21.18139786819248,25.0964,,1966.6,0.0
12586,11/2016,801.63896296693,11834.221575575117,0.125,21.17546788205927,34.2298,,1966.6,0.0
12587,11/2016,4.464139159151885,86.50014367353518,-0.0075,21.172277078076487,23.4641,,1966.6,0.0
12588,11/2016,241.379169849366,4241.76621378712,-0.14,21.166989526949504,27.227,False,1966.6,0.0
12589,11/2016,0.5116402284471953,10.02202919272915,0.1324999999999999,21.160689708015667,23.163,,1966.6,0.0
12590,11/2016,21.668611259167516,425.7664250715314,0.4049999999999999,21.151334956313736,23.3043,,1966.6,0.0
12591,11/2016,777.5941274202938,11693.523747191066,0.6774999999999999,21.147170727552496,34.0812,,1966.6,0.0
